Category,References,Value,Stock Code,Unit Cost
Capacitors,C1,22n,Maplin WX78K,
Capacitors,C2,22n,Maplin WX78K,
Capacitors,C3,22n,Maplin WX78K,
Resistors,R1,1.00k,Digikey RT1206BRD071KL-ND,
Resistors,R2,100K,Digikey P100KADTR-ND,
Resistors,R3,3.32k,Digikey RT1206FRE073K32L-ND,
Resistors,R4,3.32k,Digikey RT1206FRE073K32L-ND,
Resistors,R5,1.00k,Digikey RT1206BRD071KL-ND,
Resistors,R6,100K,Digikey P100KADTR-ND,
Resistors,R7,10M,Digikey P10METR-ND,
Resistors,R8,10M,Digikey P10METR-ND,
Resistors,R9,1.00M,Digikey RT1206BRD071ML-ND,
Resistors,R10,10.0k,Digikey RT1206FRE0710KL-ND,
Resistors,R11,1.00k,Digikey RT1206BRD071KL-ND,
Resistors,R12,14.7k,Digikey RT1206FRE0714K7L-ND,
Resistors,R13,820,Digikey RT1206BRD07820RL-ND,
Resistors,R14,47.0,Digikey RT1206CRE0747RL-ND,
Resistors,R15,150,Digikey RT1206BRD07150RL-ND,
Integrated Circuits,U1,LOG101AID,,
Integrated Circuits,U2,LM324AD,,
Miscellaneous,J1,ARDUINO-SIL8,,
Miscellaneous,J2,ARDUINO-SIL8,,
Miscellaneous,J3,Vion,NorComp 26630101RP2,
Miscellaneous,J4,Velectron,NorComp 26630101RP2,
Miscellaneous,J5,V+,NorComp 26630101RP2,
Miscellaneous,J6,V-,NorComp 26630101RP2,
Miscellaneous,J7,GND,NorComp 26630101RP2,
Miscellaneous,J8,Vout_LOGOPAM,NorComp 26630101RP2,
Miscellaneous,J10,IN_Collector,NorComp 26630101RP2,
Miscellaneous,RV1,10K,Digikey 3214W-103EDKR-ND,
Miscellaneous,RV2,10K,Digikey 3214W-103EDKR-ND,
